,DEP00,DEP01,DEP02,DEP03,CUS00,CUS01,DEP04,DEP05,DEP06,DEP07,DEP08,DEP09,DEP10,DEP11,YARD,DEP12,CUS02,DEP13,DEP14,CUS03,DEP15,DEP16,DEP17,DEP18,DEP19,DEP20,DEP21,DEP22,DEP23,DEP24,DEP25,DEP26,DEP27,CUS04,DEP28,CUS05,DEP29,CUS06,DEP30,DEP31,DEP32,DEP33,DEP34,DEP35,DEP36,DEP37,DEP38,DEP39,DEP40,DEP41,DEP42,DEP43,DEP44,CUS07
DEP00,0.00,2.48,2.38,2.43,2.25,2.07,2.45,1.72,2.23,2.12,2.53,1.73,2.30,2.23,3.12,2.63,2.20,2.93,2.25,2.23,2.07,2.00,2.28,2.47,2.48,2.33,2.30,2.45,2.85,2.52,2.32,1.97,2.70,2.20,1.55,2.25,2.90,2.05,2.10,1.98,2.55,1.82,2.75,0.90,2.17,2.18,2.15,2.22,1.78,2.38,0.45,2.30,2.57,3.03
DEP01,2.73,0.00,0.55,0.02,0.13,0.15,0.35,0.67,0.53,0.08,0.17,0.42,0.60,0.10,0.05,0.15,0.10,0.25,0.15,0.08,0.15,0.38,0.13,0.07,0.05,0.05,0.13,0.03,0.08,0.58,0.13,0.38,0.15,0.10,0.60,0.07,0.23,0.15,0.43,0.17,0.30,0.38,0.07,2.22,0.35,0.60,0.42,0.12,0.50,0.57,1.38,0.22,0.32,0.10
DEP02,2.37,0.62,0.00,0.63,0.57,0.58,0.40,1.25,0.05,0.53,0.63,0.43,0.07,0.60,0.85,0.47,0.60,0.42,0.62,0.63,0.58,0.73,0.60,0.48,0.53,0.60,0.43,0.63,0.58,0.05,0.62,0.43,0.45,0.67,0.77,0.63,0.40,0.58,0.72,0.63,0.37,0.73,0.52,2.67,0.42,0.07,0.70,0.68,0.88,0.60,1.55,0.63,0.43,0.83
DEP03,2.72,0.02,0.58,0.00,0.10,0.17,0.37,0.63,0.55,0.10,0.17,0.40,0.62,0.08,0.03,0.17,0.07,0.27,0.15,0.05,0.17,0.40,0.17,0.10,0.07,0.07,0.15,0.02,0.10,0.62,0.17,0.38,0.17,0.08,0.63,0.05,0.28,0.17,0.47,0.18,0.30,0.40,0.10,2.25,0.37,0.62,0.43,0.12,0.52,0.58,1.38,0.23,0.35,0.07
CUS00,2.37,0.12,0.55,0.13,0.00,0.23,0.35,0.52,0.50,0.17,0.10,0.35,0.55,0.05,0.32,0.17,0.05,0.15,0.07,0.08,0.25,0.43,0.27,0.17,0.15,0.17,0.17,0.12,0.20,0.58,0.23,0.40,0.18,0.15,0.63,0.10,0.23,0.23,0.58,0.23,0.40,0.43,0.18,2.42,0.25,0.58,0.52,0.12,0.57,0.60,1.35,0.28,0.37,0.27
CUS01,2.17,0.17,0.58,0.15,0.25,0.00,0.22,0.57,0.63,0.05,0.15,0.37,0.60,0.23,0.15,0.25,0.22,0.33,0.18,0.18,0.07,0.23,0.08,0.18,0.18,0.12,0.15,0.17,0.13,0.70,0.17,0.38,0.25,0.15,0.40,0.17,0.35,0.02,0.50,0.05,0.30,0.23,0.18,2.05,0.20,0.60,0.47,0.15,0.37,0.55,2.00,0.08,0.23,0.23
DEP04,2.67,0.22,0.37,0.22,0.25,0.25,0.00,0.75,0.37,0.18,0.32,0.18,0.38,0.27,0.45,0.28,0.28,0.25,0.27,0.27,0.25,0.53,0.25,0.13,0.17,0.25,0.08,0.27,0.13,0.42,0.25,0.18,0.33,0.30,0.55,0.28,0.35,0.25,0.57,0.28,0.07,0.55,0.15,2.40,0.02,0.38,0.43,0.35,0.70,0.35,1.30,0.32,0.10,0.38
DEP05,1.68,0.63,0.97,0.68,0.58,0.55,0.65,0.00,0.95,0.62,0.52,0.53,0.98,0.60,0.78,0.57,0.58,0.60,0.55,0.63,0.63,0.70,0.65,0.73,0.70,0.62,0.70,0.65,0.83,1.07,0.73,0.50,0.62,0.58,1.03,0.58,0.73,0.55,1.07,0.53,0.75,0.65,0.78,2.03,0.68,0.97,1.15,0.58,0.77,0.63,1.58,0.60,0.68,0.92
DEP06,2.27,0.58,0.05,0.60,0.52,0.60,0.40,1.15,0.00,0.55,0.60,0.43,0.07,0.53,0.82,0.45,0.55,0.38,0.53,0.57,0.58,0.67,0.62,0.53,0.53,0.55,0.45,0.60,0.53,0.07,0.60,0.42,0.42,0.62,0.70,0.58,0.38,0.60,0.72,0.65,0.37,0.68,0.52,2.67,0.42,0.07,0.70,0.65,0.82,0.60,1.50,0.68,0.45,0.80
DEP07,2.15,0.10,0.53,0.08,0.17,0.07,0.17,0.62,0.57,0.00,0.25,0.32,0.55,0.15,0.10,0.42,0.13,0.52,0.23,0.13,0.05,0.27,0.07,0.12,0.13,0.08,0.10,0.12,0.07,0.65,0.10,0.33,0.38,0.17,0.43,0.13,0.43,0.07,0.45,0.12,0.25,0.28,0.12,2.12,0.15,0.55,0.40,0.20,0.37,0.48,2.02,0.13,0.18,0.17
DEP08,2.53,0.20,0.65,0.20,0.08,0.17,0.35,0.50,0.63,0.25,0.00,0.52,0.65,0.12,0.20,0.23,0.12,0.23,0.07,0.17,0.25,0.40,0.25,0.23,0.23,0.18,0.25,0.15,0.28,0.65,0.32,0.52,0.28,0.12,0.68,0.12,0.32,0.17,0.63,0.17,0.48,0.40,0.33,2.35,0.33,0.65,0.60,0.10,0.50,0.67,2.43,0.20,0.45,0.35
DEP09,1.72,0.38,0.42,0.38,0.35,0.37,0.25,0.85,0.42,0.33,0.47,0.00,0.43,0.38,0.67,0.52,0.38,0.42,0.42,0.37,0.38,0.45,0.40,0.28,0.37,0.35,0.25,0.42,0.32,0.48,0.37,0.03,0.48,0.40,0.28,0.37,0.42,0.38,0.30,0.42,0.18,0.43,0.32,1.43,0.20,0.42,0.25,0.43,0.35,0.20,1.02,0.45,0.28,0.58
DEP10,2.30,0.60,0.07,0.60,0.60,0.63,0.42,1.27,0.07,0.57,0.65,0.43,0.00,0.62,0.90,0.48,0.63,0.43,0.63,0.60,0.62,0.75,0.62,0.50,0.55,0.58,0.45,0.62,0.60,0.13,0.63,0.37,0.47,0.65,0.68,0.62,0.42,0.63,0.67,0.67,0.40,0.77,0.53,1.83,0.43,0.02,0.65,0.67,0.80,0.53,1.50,0.67,0.47,0.85
DEP11,2.30,0.08,0.55,0.10,0.03,0.20,0.37,0.53,0.50,0.15,0.12,0.37,0.55,0.00,0.23,0.18,0.03,0.17,0.08,0.07,0.23,0.45,0.23,0.12,0.12,0.13,0.18,0.08,0.15,0.58,0.20,0.42,0.20,0.12,0.55,0.08,0.25,0.20,0.55,0.25,0.42,0.43,0.17,2.43,0.23,0.60,0.50,0.13,0.58,0.62,1.28,0.27,0.37,0.17
YARD,3.25,0.05,0.78,0.05,0.10,0.20,0.40,0.70,0.75,0.13,0.15,0.50,0.88,0.08,0.00,0.23,0.07,0.30,0.12,0.07,0.18,0.45,0.18,0.12,0.08,0.05,0.15,0.02,0.13,0.78,0.20,0.52,0.23,0.05,1.02,0.02,0.32,0.20,0.87,0.23,0.47,0.45,0.10,2.02,0.40,0.88,0.52,0.08,0.70,0.85,3.08,0.28,0.35,0.07
DEP12,2.55,0.17,0.43,0.17,0.20,0.30,0.15,0.67,0.40,0.25,0.27,0.35,0.47,0.22,0.38,0.00,0.20,0.10,0.25,0.17,0.28,0.52,0.28,0.13,0.12,0.17,0.08,0.18,0.18,0.47,0.30,0.35,0.02,0.22,0.70,0.18,0.12,0.30,0.53,0.33,0.22,0.53,0.13,2.37,0.15,0.45,0.50,0.23,0.60,0.50,1.48,0.33,0.12,0.32
CUS02,2.33,0.07,0.57,0.08,0.05,0.20,0.38,0.55,0.52,0.13,0.13,0.38,0.57,0.03,0.10,0.18,0.00,0.18,0.10,0.07,0.23,0.43,0.23,0.12,0.12,0.12,0.18,0.08,0.13,0.60,0.20,0.40,0.20,0.12,0.57,0.08,0.27,0.20,0.55,0.23,0.47,0.43,0.15,2.25,0.25,0.62,0.48,0.15,0.58,0.57,1.32,0.25,0.40,0.02
DEP13,2.75,0.25,0.40,0.27,0.15,0.38,0.23,0.58,0.37,0.37,0.23,0.42,0.43,0.17,0.47,0.10,0.18,0.00,0.20,0.22,0.38,0.62,0.38,0.22,0.18,0.25,0.18,0.25,0.25,0.42,0.38,0.38,0.10,0.25,0.82,0.22,0.08,0.38,0.60,0.42,0.28,0.60,0.20,2.45,0.23,0.43,0.58,0.25,0.72,0.50,1.55,0.45,0.20,0.38
